,Candidates Created Date,Candidates Utm Source,Candidates Utm Campaign,Candidates Utm Content,Candidates Primary Role,Candidates Origination Market,Candidates Subrole Core or Noncore,Candidates Utm Term,Candidates Count,Candidates Approved,Candidates Onboarded,Candidates Qualified Role Onboard,Candidates Participated
5688,10/25/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),cm8-all,Quality Assurance (QA),New York,Non-Core,,1,0,0,0,0
5707,10/21/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd3-all,Project Management,Seattle,Non-Core,,1,0,0,0,0
5717,10/6/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,Product Management,London,Non-Core,,1,0,0,0,0
5719,10/8/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,Other,New York,Non-Core,,2,0,0,0,0
5720,9/27/2018,facebook,(b2c)(l-all)(r-swe)(conversions),,Data Analytics,SF Bay Area,Non-Core,,1,0,0,0,0
5721,10/14/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Project Management,France,Non-Core,,1,0,0,0,0
5724,10/4/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad140),dd3,,Seattle,Non-Core,,1,0,0,0,0
5738,10/24/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-java1%),TimeHat,Other,Chicago,Non-Core,,1,0,1,0,0
5758,10/9/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad),dd3-all,,Boston,Non-Core,,1,0,0,0,0
5759,10/11/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,,France,Non-Core,,2,0,0,0,0
5760,10/12/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),jk2-all,Data Analytics,New York,Non-Core,,1,0,0,0,0
5761,10/15/2018,facebook,(b2c)(l-all)(r-swe)(tech-apprsweskills46yoetest-laa10-all-dnf),link-setyourownvalue2,Product Management,Washington D.C.,Non-Core,,1,0,0,0,0
5763,10/18/2018,facebook,(b2c)(l-all)(r-data)(tech-datasciencetools-all-mnf),link-losethedesk,Information Technology (IT),SF Bay Area,Non-Core,,1,0,0,0,0
7807,10/14/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),jk2-all,Information Technology (IT),SF Bay Area,Non-Core,,1,0,1,1,0
5778,10/8/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,Other,Seattle,Non-Core,,1,0,0,0,0
5780,10/9/2018,twitter,(b2c)(l-all)(r-swe)(followerllav2),dd6-all,Information Technology (IT),New York,Non-Core,,1,0,0,0,0
5818,10/12/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,Other,London,Non-Core,,1,0,0,0,0
