,Candidates Created Date,Candidates Utm Source,Candidates Utm Campaign,Candidates Utm Content,Candidates Primary Role,Candidates Origination Market,Candidates Subrole Core or Noncore,Candidates Utm Term,Candidates Count,Candidates Approved,Candidates Onboarded,Candidates Qualified Role Onboard,Candidates Participated
9316,9/24/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Other,New York,Non-Core,,1,0,0,0,0
9318,9/25/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Design,Seattle,Non-Core,,1,0,0,0,0
9328,10/7/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Other,France,Non-Core,,1,0,1,0,0
9345,10/5/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad140),dd3,,Seattle,Non-Core,,1,0,0,0,0
9349,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),jk2-all,Design,New York,Non-Core,,1,0,0,0,0
9352,10/9/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,,Seattle,Non-Core,,1,0,0,0,0
9365,10/8/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,Other,SF Bay Area,Non-Core,,1,0,1,0,0
5481,10/4/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad140),dd3,Information Technology (IT),New York,Non-Core,,1,0,1,1,0
9370,10/26/2018,facebook,(b2c)(sea)(r-all)(conversion-us-coreqob_static),sea,,Seattle,Non-Core,,1,0,0,0,0
9391,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad-dd3),dd3-all,Other,Seattle,Non-Core,,1,0,1,0,0
9396,9/23/2018,facebook,(b2c)(l-all)(r-swe)(conversions),,Project Management,Chicago,Non-Core,,1,0,0,0,0
9402,10/5/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Quality Assurance (QA),New York,Non-Core,,1,0,0,0,0
9415,10/7/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Other,SF Bay Area,Non-Core,,1,0,0,0,0
9417,10/12/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob1interest-dd3),dd3-all,Design,New York,Non-Core,,1,0,0,0,0
9419,10/18/2018,twitter,(b2c)(l-all)(r-swe)(onboardllav2),dd6-all,Information Technology (IT),New York,Non-Core,,1,0,0,0,0
9433,10/14/2018,twitter,(b2c)(l-all)(r-swe)(keywordslladevops),Doug-Challenge,Product Management,Boston,Non-Core,,1,0,0,0,0
9435,10/21/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd3-all,,New York,Non-Core,,1,0,0,0,0
9441,10/24/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static-6month),jj2-all,,SF Bay Area,Non-Core,,1,0,0,0,0
9443,10/24/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd3-all,Information Technology (IT),Seattle,Non-Core,,1,0,0,0,0
6385,10/4/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad60),dd3,Software Engineering,Other,Non-Core,,1,0,1,1,0
9482,10/23/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static-6month),dd3-all,Project Management,Boston,Non-Core,,1,0,0,0,0
9491,10/12/2018,facebook,(b2c)(l-all)(r-swe)(retargeting-us-sitevisitor_2-7d),dd3-all,Information Technology (IT),New York,Non-Core,,1,0,0,0,0
7336,10/4/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd3-all,Design,New York,Non-Core,,1,1,1,1,1
9493,10/13/2018,twitter,(b2c)(l-all)(r-swe)(keywordslladevops),Doug-Dream,Information Technology (IT),Other,Non-Core,,1,0,0,0,0
7830,10/4/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad),dd3-all,Information Technology (IT),New York,Non-Core,,1,0,1,1,0
8128,10/4/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad140),dd3,Project Management,New York,Non-Core,,1,0,1,1,0
9529,10/21/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Project Management,France,Non-Core,,2,0,0,0,0
9152,10/4/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd7-all,Product Management,Los Angeles,Non-Core,,1,0,1,1,0
10055,10/4/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd7,Project Management,Washington D.C.,Non-Core,,1,0,1,1,0
9550,10/20/2018,facebook,(b2c)(l-all)(r-all)(conversion-london-interest),jk2-all,Project Management,London,Non-Core,,1,0,0,0,0
9553,9/21/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Project Management,Seattle,Non-Core,,1,0,0,0,0
9557,10/2/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad-cc2),cc2-all,Project Management,SF Bay Area,Non-Core,,1,0,0,0,0
9563,10/14/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Other,Boston,Non-Core,,1,0,0,0,0
9567,10/22/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd3-all,Product Management,Boston,Non-Core,,1,0,0,0,0
9582,9/21/2018,facebook,(b2c)(l-all)(r-swe)(conversions),,Information Technology (IT),Other,Non-Core,,1,0,0,0,0
9583,10/19/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,Product Management,New York,Non-Core,,1,0,0,0,0
10940,10/4/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad140),dd3,Design,Boston,Non-Core,,1,0,1,1,0
9614,10/24/2018,facebook,(b2c)(l-all)(r-all)(conversion-london-interest),jj2-all,,London,Non-Core,,3,0,0,0,0
9622,9/19/2018,facebook,(b2c)(l-all)(r-all)(conversions),,,SF Bay Area,Non-Core,,1,0,0,0,0
9626,10/4/2018,facebook,%28b2c%29%28fr%29%28r-swe%29%28conversion-paris-interest%29,ff6-all,Other,France,Non-Core,,1,0,0,0,0
9636,10/17/2018,facebook,(b2c)(l-all)(r-swe)(retargeting-us-sitevisitor),dd3-all,Information Technology (IT),Boston,Non-Core,,2,0,0,0,0
9652,10/13/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd7-all,Quality Assurance (QA),Seattle,Non-Core,,1,0,1,0,0
11292,10/4/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd7-all,Software Engineering,Other,Core,,1,0,1,1,0
9670,10/8/2018,twitter,(b2c)(l-all)(r-swe)(followerllav2),dd3-all,,New York,Non-Core,,1,0,0,0,0
12814,10/4/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-HackIntCQOBLAL365-TimeHat),TimeHat,Software Engineering,SF Bay Area,Core,,1,0,1,1,0
9677,10/15/2018,facebook,(b2c)(l-all)(r-swe)(retargeting-us-sitevisitor),dd3-all,,New York,Non-Core,,1,0,0,0,0
9680,10/19/2018,twitter,(b2c)(l-all)(r-swe)(followerllav4),dd7-all,Software Engineering,New York,Non-Core,,1,0,0,0,0
9690,9/21/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Product Management,Seattle,Non-Core,,1,0,0,0,0
9697,10/7/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad),dd3-all,Information Technology (IT),New York,Non-Core,,1,0,0,0,0
9698,9/29/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-dd3),dd3-all,Project Management,Los Angeles,Non-Core,,1,0,0,0,0
9702,10/1/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob1interest-dd3),dd3-all,,Boston,Non-Core,,1,0,0,0,0
223,10/3/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,Project Management,New York,Non-Core,,2,0,1,1,0
3827,10/3/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,Design,Boston,Non-Core,,1,0,1,1,0
9728,10/20/2018,twitter,(b2c)(l-all)(r-swe)(followerllav4),dd7-all,Developer Operations (DevOps),Boston,Non-Core,,1,0,0,0,0
9740,10/13/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv5),dd3,Design,New York,Non-Core,,1,0,0,0,0
4312,10/3/2018,facebook,(b2c)(l-all)(r-swe)(tech-apprsweskills-laa2-all-mnf),link-losethedesk,Project Management,New York,Non-Core,,1,0,1,1,0
9758,10/2/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd3-all,Data Analytics,SF Bay Area,Non-Core,,1,0,0,0,0
9759,10/3/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd3-all,Product Management,SF Bay Area,Non-Core,,1,0,0,0,0
9762,10/13/2018,facebook,(b2c)(l-all)(r-swe)(tech-techinterests sweplacement-laa10-all-mnf),link-setyourowncasual2,Project Management,SF Bay Area,Non-Core,,1,0,0,0,0
9769,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv5),dd3,Other,SF Bay Area,Non-Core,,1,0,0,0,0
4635,10/3/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,Design,New York,Non-Core,,1,0,1,1,0
9779,9/22/2018,facebook,(b2c)(fr)(r-swe)(conversions),,Other,France,Non-Core,,1,0,0,0,0
9794,9/23/2018,facebook,(b2c)(ldn)(r-swe)(conversions),,Project Management,London,Non-Core,,2,0,0,0,0
4815,10/3/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,Data Analytics,New York,Non-Core,,3,0,2,2,0
9806,10/5/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad140),dd3,Information Technology (IT),San Diego,Non-Core,,1,0,0,0,0
6515,10/3/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest-dd3),dd3-all,Design,London,Non-Core,,2,0,1,1,0
9830,10/9/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad140),dd3,Information Technology (IT),New York,Non-Core,,1,0,0,0,0
9838,10/16/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,Project Management,London,Non-Core,,1,0,0,0,0
9844,10/19/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,,New York,Non-Core,,1,0,0,0,0
9857,9/22/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Other,New York,Non-Core,,2,0,0,0,0
7229,10/3/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest-ff6),ff6-all,Design,London,Non-Core,,1,0,1,1,0
9864,9/28/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest-dd3),dd3-all,Other,London,Non-Core,,1,0,0,0,0
9872,10/18/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv5),dd7,,SF Bay Area,Non-Core,,1,0,0,0,0
8347,10/3/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad-dd3),dd3-all,Data Analytics,Seattle,Non-Core,,1,0,1,1,0
9888,10/7/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Information Technology (IT),New York,Non-Core,,1,0,0,0,0
9889,10/14/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Project Management,New York,Non-Core,,1,0,0,0,0
9890,10/9/2018,facebook,(b2c)(l-all)(r-design)(tech-designskills-all-mnf),link-setyourowncasual2,Project Management,Boston,Non-Core,,1,0,0,0,0
9949,10/3/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest-ff6),ff6-all,Data Analytics,France,Non-Core,,3,0,1,1,0
9893,10/17/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd3-all,Information Technology (IT),New York,Non-Core,,1,0,0,0,0
9896,10/19/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd3-all,Design,New York,Non-Core,,2,0,0,0,0
9913,10/25/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static2%),dd3-all,Quality Assurance (QA),Seattle,Non-Core,,1,0,0,0,0
9916,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversioncore-us-coreqob_pixel),dd3-all,,New York,Non-Core,,1,0,0,0,0
11103,10/3/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest-cc2),cc2-all,Software Engineering,London,Core,,1,0,1,1,0
9934,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Other,New York,Non-Core,,1,0,1,0,0
12054,10/3/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad-dd3),dd3-all,Software Engineering,Boston,Core,,2,1,2,1,1
9951,10/5/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad140),dd3,Information Technology (IT),New York,Non-Core,,1,0,0,0,0
9952,10/19/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),dd3-all,Other,New York,Non-Core,,1,0,0,0,0
9955,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd7,Other,New York,Non-Core,,1,0,0,0,0
9966,10/19/2018,facebook,(b2c)(fr-par)(r-swe)(tech-sqlgithubemails-laa1-frpar-mnf),link-losethedesk,Other,France,Non-Core,,1,0,0,0,0
9967,10/1/2018,facebook,(b2c)(ldn)(r-swe)(core-role-3Y-lal3/4-mobile),legacy-post-ldn-2258,,London,Non-Core,,1,0,0,0,0
34,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob1interest-cc2),cc2-all,Design,Boston,Non-Core,,1,0,1,1,0
9975,10/14/2018,twitter,(b2c)(l-all)(r-swe)(followerlladevops),Doug-Challenge,Other,London,Non-Core,,1,0,1,0,0
9989,9/21/2018,facebook,(b2c)(fr)(r-swe)(conversions),,Other,France,Non-Core,,3,0,0,0,0
9997,10/2/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest-ff6),ff6-all,Other,France,Non-Core,,2,0,0,0,0
10001,10/7/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd7-all,Design,Seattle,Non-Core,,1,0,0,0,0
210,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad-dd3),dd3-all,Project Management,Seattle,Non-Core,,1,0,1,1,0
10005,10/10/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd3,Project Management,New York,Non-Core,,1,0,0,0,0
10009,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv5),dd3,Project Management,New York,Non-Core,,1,0,0,0,0
10011,10/16/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd6-all,,New York,Non-Core,,1,0,0,0,0
3343,10/2/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest-ff6),ff6-all,Product Management,France,Non-Core,,1,0,1,1,0
3506,10/2/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest-ff6),ff6-all,Design,France,Non-Core,,2,0,1,1,0
10015,10/22/2018,twitter,(b2c)(l-all)(r-swe)(followerllav2),dd3-all,Product Management,SF Bay Area,Non-Core,,1,0,0,0,0
10025,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Other,New York,Non-Core,,1,0,0,0,0
10049,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad-dd3),dd3-all,Information Technology (IT),SF Bay Area,Non-Core,,1,0,0,0,0
6094,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,Project Management,New York,Non-Core,,6,0,2,2,0
10056,10/26/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static-6month),jk2-all,Other,SF Bay Area,Non-Core,,1,0,1,0,0
10059,10/13/2018,facebook,(b2c)(l-all)(r-swe)(retargeting-us-sitevisitor_2-7d),dd3-all,Other,Seattle,Non-Core,,1,0,0,0,0
10061,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),jj2-all,Project Management,Boston,Non-Core,,1,0,0,0,0
10063,10/16/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd6-all,Information Technology (IT),New York,Non-Core,,1,0,0,0,0
6390,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob1interest-dd3),dd3-all,Project Management,SF Bay Area,Non-Core,,1,0,1,1,0
10067,10/17/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv5),jj2-all,Design,New York,Non-Core,,1,0,0,0,0
10074,10/6/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad140),dd3,Other,New York,Non-Core,,1,0,0,0,0
6406,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob1interest-cc2),cc2-all,Project Management,SF Bay Area,Non-Core,,2,0,1,1,0
10080,10/13/2018,facebook,(b2c)(l-all)(r-all)(conversion-london-interest),jk2-all,Other,London,Non-Core,,2,0,1,0,0
6740,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,Information Technology (IT),SF Bay Area,Non-Core,,1,0,1,1,0
10096,10/4/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd3,Project Management,Seattle,Non-Core,,1,0,0,0,0
7319,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad-dd3),dd3-all,Design,New York,Non-Core,,2,0,2,2,0
10110,10/1/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest-dd3),dd3-all,Information Technology (IT),London,Non-Core,,1,0,0,0,0
10130,10/26/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static2%),dd3-all,Product Management,New York,Non-Core,,1,0,0,0,0
10137,10/1/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-dd3),dd3-all,,Seattle,Non-Core,,1,0,0,0,0
7339,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,Product Management,Seattle,Non-Core,,1,0,1,1,0
10143,10/20/2018,facebook,(b2c)(l-all)(r-all)(conversion-london-interest),jk2-all,Design,London,Non-Core,,1,0,0,0,0
10153,10/2/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest-dd3),dd3-all,Project Management,London,Non-Core,,2,0,1,0,0
8517,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-dd3),dd3-all,Project Management,Boston,Non-Core,,1,0,1,1,0
10157,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Other,Seattle,Non-Core,,1,0,0,0,0
10160,10/9/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad60),dd3,Other,New York,Non-Core,,1,0,0,0,0
10168,9/7/2018,facebook,(b2c)(frpar)(r-swe)(tech-mongogithub-laa2-frpar-dnf),link-jobsfindyou,,France,Non-Core,,1,0,0,0,0
10170,9/19/2018,facebook,(b2c)(ldn)(r-all)(video-views),,Quality Assurance (QA),London,Non-Core,,1,0,0,0,0
8581,10/2/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd7-all,Design,,Non-Core,,1,0,1,1,0
10174,10/7/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad100),dd3,Product Management,New York,Non-Core,,1,0,0,0,0
10180,9/20/2018,facebook,(b2c)(ldn)(r-swe)(conversions),,,London,Non-Core,,3,0,0,0,0
10184,9/26/2018,facebook,(b2c)(fr)(r-swe)(conversions),,Project Management,France,Non-Core,,2,0,0,0,0
10187,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),jk2-all,Other,New York,Non-Core,,1,0,0,0,0
10194,10/6/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,Other,London,Non-Core,,2,0,0,0,0
10198,10/10/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad100),dd3,Data Analytics,New York,Non-Core,,1,0,0,0,0
10204,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob1interest-dd3),dd3-all,Project Management,SF Bay Area,Non-Core,,1,0,0,0,0
8603,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,Product Management,New York,Non-Core,,2,0,1,1,0
8900,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,Data Analytics,Seattle,Non-Core,,1,0,1,1,0
10261,10/23/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd3-all,,Seattle,Non-Core,,1,0,0,0,0
8976,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad-dd3),dd3-all,Project Management,New York,Non-Core,,1,0,1,1,0
10275,10/8/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad),dd3-all,Quality Assurance (QA),Boston,Non-Core,,1,0,0,0,0
10277,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),jj2-all,Design,Seattle,Non-Core,,1,0,0,0,0
9971,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,Product Management,Boston,Non-Core,,1,0,1,1,0
10290,10/14/2018,facebook,(b2c)(l-all)(r-swe)(tech-sqlgithubemails-laa1-all-dnf),link-setyourowncasual2,Other,London,Non-Core,,1,0,1,0,0
10292,10/15/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Project Management,France,Non-Core,,3,0,0,0,0
10303,10/20/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd3-all,,SF Bay Area,Non-Core,,1,0,0,0,0
10312,10/26/2018,facebook,(b2c)(nyc)(r-all)(conversion-us-coreqob_static),nyc-all,Other,New York,Non-Core,,2,0,0,0,0
11062,10/2/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd6-all,Software Engineering,SF Bay Area,Core,,1,1,1,1,1
10320,9/28/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,Information Technology (IT),Boston,Non-Core,,1,0,0,0,0
10324,10/7/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Project Management,New York,Non-Core,,1,0,0,0,0
10331,10/22/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static-6month),jj2-all,,New York,Non-Core,,1,0,0,0,0
11792,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,Software Engineering,Philadelphia,Core,,1,0,1,1,0
12070,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,Software Engineering,SF Bay Area,Core,,1,1,1,1,1
12222,10/2/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd6-all,Software Engineering,Other,Core,,1,0,1,1,0
10351,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),jk2-all,,SF Bay Area,Non-Core,,1,0,0,0,0
10357,10/21/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd3-all,Design,Seattle,Non-Core,,1,0,0,0,0
10375,10/1/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad-cc2),cc2-all,Design,New York,Non-Core,,1,0,0,0,0
10378,10/9/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,Project Management,London,Non-Core,,1,0,0,0,0
10383,10/16/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad),dd3-all,Product Management,Boston,Non-Core,,1,0,0,0,0
13499,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,Software Engineering,Boston,Core,,1,0,1,1,0
10388,10/21/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob1broad),jj2-all,Design,New York,Non-Core,,1,0,0,0,0
10404,10/1/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest-ff6),ff6-all,Other,France,Non-Core,,2,0,0,0,0
10410,10/17/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd6-all,Design,New York,Non-Core,,1,0,0,0,0
1886,10/1/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,Data Analytics,SF Bay Area,Non-Core,,1,0,1,1,0
10416,10/20/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd3-all,Information Technology (IT),Seattle,Non-Core,,1,0,0,0,0
2382,10/1/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob1interest-dd3),dd3-all,Data Analytics,New York,Non-Core,,1,0,1,1,0
10432,9/25/2018,facebook,(b2c)(ldn)(r-swe)(conversions),,,London,Non-Core,,3,0,0,0,0
2994,10/1/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad-cc2),cc2-all,Project Management,New York,Non-Core,,1,0,1,1,0
10439,10/26/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static-6month),jj2-all,Quality Assurance (QA),New York,Non-Core,,1,0,0,0,0
3053,10/1/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,Design,Seattle,Non-Core,,1,0,1,1,0
6974,10/1/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest-ff6),ff6-all,Product Management,France,Non-Core,,1,0,1,1,0
10450,9/20/2018,facebook,(b2c)(fr)(r-swe)(conversions),,,Other,Non-Core,,1,0,0,0,0
10452,10/8/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad140),dd3,Design,New York,Non-Core,,1,0,0,0,0
10472,9/25/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Other,Boston,Non-Core,,1,0,1,0,0
10476,10/4/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd3-all,,Washington D.C.,Non-Core,,1,0,0,0,0
10484,10/25/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static-6month),jk2-all,Project Management,SF Bay Area,Non-Core,,1,0,0,0,0
10485,9/27/2018,twitter,(b2c-flex)(l-all)(r-swe)(tech-html5followers-all-mf),losethedesk,Software Engineering,Toronto,Non-Core,,1,0,0,0,0
10491,10/9/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad100),dd3,Project Management,Seattle,Non-Core,,1,0,0,0,0
10501,10/23/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static-6month),dd3-all,Other,New York,Non-Core,,2,0,0,0,0
7566,10/1/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,Information Technology (IT),San Diego,Non-Core,,1,0,1,1,0
10506,10/10/2018,twitter,(b2c)(l-all)(r-swe)(followerllav2),dd3-all,Other,New York,Non-Core,,1,0,0,0,0
8095,10/1/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad-cc2),cc2-all,Information Technology (IT),Seattle,Non-Core,,1,0,1,1,0
8433,10/1/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-dd3),dd3-all,Project Management,SF Bay Area,Non-Core,,1,0,1,1,0
10526,9/29/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest-cc2),cc2-all,Product Management,London,Non-Core,,1,0,0,0,0
10536,10/23/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),jk2-all,Project Management,New York,Non-Core,,1,0,0,0,0
10539,10/1/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad-dd3),dd3-all,,New York,Non-Core,,1,0,0,0,0
